year,tm,player,age,g,mp,per,ts,3par,ftr,orb,drb,trb,ast,stl,blk,tov,usg,column_s,ows,dws,ws,ws_48,column_x,obpm,dbpm,bpm,vorp,ows_48,dws_48,shot,player_id,team_mar,team_mp,team_gm,year_3par,team_ts,tm_usg,tm_ts_w_o_plyr,reb_vers,defense,val_shot,offense,mpg_int,raw_spm,min,raw_contrib,tm_sum,tm_adj,bpm_2,stderr,contrib,vorp_2,reb_vers_2,val_shot_2,offense_2,defense_2,mpg,raw_obpm,contrib_2,tm_ortg,tm_sum_2,tm_adj_2,tm_drtg,obpm_2,ostderr,ocontrib,ovorp,dbpm_2,dstderr,dcontrib,dvorp,sum_spm,min_2,mpg_2,rempg,bpm_3,contrib_3,vorp_3,vorp_gm,o_bpm,ocontrib_2,ovorp_2,ovorp_gm,d_bpm,dcontrib_2,dvorp_2,dvorp_gm,production,prod_gm,exp_bpm,truetalentbpm,exp_min,truetalentvorp,truesalary,truetimevorp,adjusted_production,worp,o_worp,d_worp,adjusted_worp,estimated_position,bbref_pos,age_on_feb_1,yrs_experience,height,weight,rounded_position,rounded_age
1979,HOU,Moses Malone,23,82,3390,23.7,0.604,,0.612,19.2,27.1,23.2,5.9,1.1,1.8,16.2,23.4,,10.6,3.5,14.1,0.2,,4.1,-0.1,4.0,5.1,0.15,0.05,19.6,malonmo01,0.92,19780,82,0.0,0.546,336381,0.531,0.08,-0.45,0.03,2.03,1.63,3.3,0.857,2.83,-2.47,0.72,4.0,2.0,3.4,5.2,1.4,0.4,1.3,-0.2,0.9,3.7,3.2,4.8,2.9,0.6,-3.9,4.3,1.3,3.7,5.1,-0.3,1.5,-0.2,0.0,4.6,0.9,41.3,39.4,4.0,3.4,5.2,5.2,4.3,3.7,5.1,5.1,-0.3,-0.2,0.0,0.0,25600000,25600000,2.9,3.5,0.73,4.0,20100000,4.4,21800000,13.9,13.9,0.0,11.8,4.6,5.0,23.86,4,82,215,5,24
1979,CHI,Artis Gilmore,29,82,3265,22.3,0.619,,0.448,9.9,25.0,17.5,12.9,0.7,2.6,16.5,23.0,,8.6,4.1,12.7,0.186,,3.0,1.2,4.2,5.1,0.126,0.06,19.2,gilmoar01,-3.55,19780,82,0.0,0.532,322870,0.511,1.7,-0.52,0.22,2.45,1.45,5.08,0.825,4.2,-2.56,-0.34,4.7,2.0,3.9,5.6,0.5,0.5,2.6,-0.4,0.8,3.9,3.2,-2.4,-0.1,-0.6,-1.1,3.3,1.3,2.7,4.1,1.4,1.5,1.2,1.4,1.9,0.8,39.8,38.0,4.7,3.9,5.6,5.6,3.3,2.7,4.1,4.1,1.4,1.2,1.4,1.4,27600000,27600000,2.0,3.5,0.73,4.0,20000000,4.9,24400000,15.0,11.2,3.8,13.2,5.0,5.0,29.36,7,86,240,5,29
1979,DET,M.L. Carr,28,80,3207,16.3,0.561,,0.381,6.9,12.4,9.5,10.8,2.8,0.7,16.0,18.9,,4.5,3.4,7.9,0.118,,1.7,1.7,3.5,4.4,0.067,0.051,15.9,carrml01,-2.38,19780,82,0.0,0.513,334648,0.505,-0.3,1.1,0.08,1.72,1.48,4.0,0.811,3.24,-1.37,-0.3,3.7,2.0,3.0,4.6,0.0,0.4,0.9,0.4,0.8,2.5,2.0,-1.7,1.4,-0.7,-0.7,1.8,1.4,1.5,2.9,1.9,1.5,1.5,1.8,0.0,0.8,40.1,38.2,3.7,3.0,4.6,4.7,1.8,1.5,2.9,2.9,1.9,1.5,1.8,1.8,23100000,23600000,2.2,3.0,0.73,3.6,18400000,4.1,20700000,12.5,7.7,4.7,11.2,2.5,3.0,28.06,3,78,205,2,28
1979,LAL,Kareem Abdul-Jabbar,31,80,3157,25.5,0.612,,0.352,7.6,26.7,17.6,18.9,1.1,5.0,15.3,23.3,,8.8,5.6,14.4,0.219,,3.7,3.3,7.1,7.2,0.134,0.085,19.7,abdulka01,2.72,19780,82,0.0,0.557,332720,0.544,3.5,1.25,0.24,1.23,1.4,7.39,0.798,5.9,1.41,0.37,7.8,2.0,6.2,7.8,0.6,0.5,2.3,-0.4,0.7,3.7,2.9,2.2,1.5,0.2,0.6,3.9,1.4,3.1,4.4,3.9,1.5,3.1,3.3,0.0,0.8,39.5,37.6,7.8,6.2,7.8,8.0,3.9,3.1,4.4,4.6,3.9,3.1,3.3,3.4,38200000,39100000,2.8,5.5,0.73,5.4,27000000,7.1,34800000,21.0,12.0,9.0,19.1,5.0,5.0,31.8,9,86,225,5,32
1979,LAL,Norm Nixon,23,82,3145,18.2,0.567,,0.178,1.8,6.0,4.0,30.5,2.9,0.3,15.7,18.7,,6.5,3.1,9.6,0.146,,2.2,-0.6,1.7,2.9,0.099,0.047,15.8,nixonno01,2.72,19780,82,0.0,0.557,332720,0.555,0.72,1.02,0.33,-1.47,1.28,1.54,0.795,1.23,1.41,0.37,1.9,2.0,1.5,3.1,-0.2,0.4,0.9,0.5,0.7,2.3,1.8,2.2,1.5,0.2,0.6,2.5,1.4,2.0,3.4,-0.6,1.5,-0.5,-0.3,3.2,0.8,38.4,36.6,1.9,1.5,3.1,3.1,2.5,2.0,3.4,3.4,-0.6,-0.5,-0.3,-0.3,15900000,15900000,2.6,2.2,0.73,3.1,15600000,2.8,14600000,8.4,9.1,-0.7,7.7,1.0,1.0,23.31,1,74,170,1,23
1979,SDC,Randy Smith,30,82,3111,16.6,0.499,,0.236,3.5,6.6,5.0,17.6,2.6,0.1,13.2,23.6,,4.5,1.3,5.8,0.089,,1.2,-1.2,-0.1,1.5,0.069,0.02,20.5,smithra01,-1.64,19730,82,0.0,0.528,333489,0.534,-0.37,0.53,0.02,-1.16,1.23,0.23,0.788,0.18,-0.68,-0.26,0.0,2.0,0.0,1.6,-0.3,0.3,0.0,0.4,0.6,1.0,0.8,2.4,1.3,0.3,-4.0,1.3,1.4,1.0,2.3,-1.3,1.5,-1.0,-0.8,2.6,0.8,37.9,36.2,0.0,0.0,1.6,1.6,1.3,1.0,2.3,2.3,-1.3,-1.0,-0.8,-0.8,8400000.0,8400000.0,1.9,0.8,0.63,1.8,9500000.0,1.2,6900000.0,4.2,6.3,-2.1,3.3,1.1,2.0,30.14,7,75,180,1,30
1979,WSB,Elvin Hayes,33,82,3105,19.1,0.523,,0.362,10.3,22.0,16.2,6.3,1.1,3.0,12.1,23.9,,4.5,4.9,9.4,0.146,,0.7,1.0,1.7,2.9,0.07,0.076,21.0,hayesel01,4.38,19780,82,0.0,0.527,341426,0.528,-1.37,0.19,-0.12,0.55,1.22,0.59,0.785,0.46,-0.6,1.17,1.8,2.0,1.4,3.0,-0.3,0.2,0.3,-0.3,0.6,0.6,0.4,3.4,3.1,0.2,1.0,0.7,1.4,0.6,1.9,1.0,1.5,0.8,1.0,-0.3,0.8,37.9,36.1,1.8,1.4,3.0,3.0,0.7,0.6,1.9,1.9,1.0,0.8,1.0,1.0,15100000,15100000,2.7,2.2,0.73,3.0,15500000,2.7,14000000,8.0,5.2,2.8,7.4,4.2,4.0,33.21,10,81,235,4,33
1979,GSW,John Lucas,25,82,3095,16.9,0.514,,0.28,2.2,6.4,4.3,33.0,2.3,0.2,16.5,20.2,,4.7,3.2,7.9,0.122,,1.2,-0.5,0.7,2.1,0.073,0.049,16.9,lucasjo01,0.45,19780,82,0.0,0.521,335031,0.522,1.34,0.21,0.33,-2.31,1.21,0.44,0.782,0.35,-1.18,0.34,0.8,2.0,0.6,2.2,0.1,0.4,0.5,0.3,0.6,1.9,1.5,-1.4,1.2,-0.6,1.9,1.4,1.4,1.1,2.4,-0.6,1.5,-0.4,-0.2,1.9,0.8,37.7,36.0,0.8,0.6,2.2,2.2,1.4,1.1,2.4,2.4,-0.6,-0.4,-0.2,-0.2,11400000,11400000,2.1,1.4,0.71,2.4,12500000,2.0,10400000,5.9,6.5,-0.6,5.3,1.0,1.0,25.25,2,75,175,1,25
1979,DET,Kevin Porter,28,82,3064,17.2,0.513,,0.24,2.0,5.2,3.5,47.0,2.3,0.1,21.5,19.4,,4.3,1.9,6.2,0.097,,0.9,-2.7,-1.8,0.1,0.067,0.03,15.2,porteke01,-2.38,19780,82,0.0,0.513,334648,0.513,2.16,0.16,0.59,-5.0,1.16,-1.52,0.775,-1.18,-1.37,-0.3,-1.8,2.1,-1.4,0.1,0.4,0.6,0.0,0.3,0.6,1.8,1.4,-1.7,1.4,-0.7,-0.7,1.2,1.4,0.9,2.2,-3.0,1.5,-2.3,-2.1,4.1,0.8,37.4,35.6,-1.8,-1.4,0.1,0.1,1.2,0.9,2.2,2.2,-3.0,-2.3,-2.1,-2.1,1700000.0,1700000.0,1.6,-0.2,0.47,0.8,4900000.0,0.1,1400000.0,0.4,6.0,-5.6,0.2,1.0,1.0,28.79,6,72,170,1,29
1980,LAL,Norm Nixon,24,82,3226,14.9,0.548,0.007,0.209,1.9,5.5,3.9,25.3,2.1,0.2,17.9,20.0,,4.1,2.7,6.7,0.1,,0.4,-1.1,-0.7,1.0,0.06,0.04,16.4,nixonno01,5.04,19880,82,0.031,0.57,332233,0.574,-0.2,-0.17,0.16,-2.33,1.41,-1.29,0.811,-1.05,3.95,0.42,-0.9,2.0,-0.7,0.9,-0.4,0.3,-0.8,0.2,0.7,0.0,0.0,4.0,2.2,0.5,1.1,0.5,1.3,0.4,1.8,-1.4,1.5,-1.1,-0.9,1.9,0.8,39.3,37.5,-0.9,-0.7,0.9,0.9,0.5,0.4,1.8,1.8,-1.4,-1.1,-0.9,-0.9,5300000.0,5300000.0,3.1,0.9,0.64,1.9,9700000.0,0.7,4400000.0,2.5,4.8,-2.4,2.0,1.0,1.0,24.31,2,74,170,1,24
